Authors,Title,Reject,Year,Source,Publisher,ArticleURL
"R Jain, V Kumar, VK Mishra, M Singh, NK Pandey",Novel Techniques for Educational Data Mining,1,2022,,ijrra.net,https://www.ijrra.net/Vol9issue1/IJRRA-09-01-02.pdf
"J Tzi-Dong Ng, X Hu, Y Que",Towards Multi-modal Evaluation of Eye-tracked Virtual Heritage Environment,1,2022,… : 12th International Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506881
"A van Leeuwen, N Rummel",Teachers learning to implement student collaboration: The role of data analytics tools,1,2022,Teacher Learning in Changing …,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003097112-4/teachers-learning-implement-student-collaboration-anouschka-van-leeuwen-nikol-rummel
"SL Pugh, A Rao, AEB Stewart, SK D'Mello",Do Speech-Based Collaboration Analytics Generalize Across Task Contexts?,1,2022,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506894
SJ Aguilar,Experimental Evidence of Performance Feedback vs. Mastery Feedback on Students' Academic Motivation,1,2022,LAK22: 12th International Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506916
"J Goodell, M Jay, N Olaniyi, ...",Should IEEE Establish Learning Engineering as a New Engineering Profession?,1,2022,… Conference on Advanced …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9853828/
"JA Ruipérez-Valiente, T Staubitz, M Jenner, ...","Large scale analytics of global and regional MOOC providers: Differences in learners' demographics, preferences, and perceptions",1,2022,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0360131521003031
"A Govorov, A Chernysheva, S Derkunskaia, ...",Target Professions Based Approach for Individual Learning Pathway Creation,1,2022,International Journal of …,ijiet.org,http://www.ijiet.org/vol12/1605-ED023.pdf
"B Chen, X Zhu, H Shui",Socio-semantic network motifs framework for discourse analysis,1,2022,LAK22: 12th International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506893
"A Bhimdiwala, RC Neri, LM Gomez",Advancing the design and implementation of artificial intelligence in education through continuous improvement,1,2022,International Journal of Artificial …,Springer,https://link.springer.com/article/10.1007/s40593-021-00278-8
